Code,Name,C,M,Y,K
004,Alizarin Crimson,22.0,100.0,98.0,15.0
025,Bismuth Yellow,11.0,0.0,84.0,0.0
034,Blue Black,77.0,67.0,65.0,84.0
042,Bright Red,14.0,100.0,93.0,4.0
045,Royal Blue,51.0,38.0,0.0,0.0
056,Brown Madder,27.0,88.0,97.0,24.0
058,Bronze,42.0,61.0,92.0,38.0
059,Brown Ochre,22.0,63.0,100.0,8.0
074,Burnt Sienna,19.0,92.0,100.0,9.0
076,Burnt Umber,41.0,69.0,100.0,47.0
084,Cadmium Green Pale,41.0,4.0,100.0,0.0
086,Cadmium Lemon,4.0,0.0,94.0,0.0
089,Cadmium Orange,9.0,70.0,100.0,1.0
094,Cadmium Red,11.0,100.0,86.0,2.0
097,Cadmium Red Deep,23.0,100.0,85.0,17.0
106,Cadmium Scarlet,9.0,89.0,100.0,2.0
108,Cadmium Yellow,5.0,45.0,100.0,0.0
111,Cadmium Yellow Deep,7.0,59.0,100.0,0.0
118,Cadmium Yellow Pale,2.0,12.0,100.0,0.0
137,Cerulean Blue,67.0,18.0,13.0,0.0
142,Charcoal Grey,72.0,65.0,64.0,73.0
147,Chrome Green Deep Hue,86.0,30.0,100.0,18.0
149,Chrome Yellow Hue,4.0,5.0,100.0,0.0
178,Cobalt Blue,90.0,56.0,1.0,0.0
180,Cobalt Blue Deep,100.0,96.0,16.0,4.0
183,Cobalt Chromite Green,46.0,13.0,46.0,0.0
184,Cobalt Green,94.0,58.0,51.0,35.0
190,Cobalt Turquoise,89.0,37.0,53.0,15.0
191,Cobalt Turquoise Light,76.0,4.0,40.0,0.0
192,Cobalt Violet,46.0,88.0,15.0,1.0
214,Copper,15.0,65.0,97.0,3.0
217,Davy's Gray,26.0,18.0,43.0,0.0
242,Flake White Hue,0.0,0.0,0.0,0.0
257,Pale Rose Blush,0.0,30.0,26.0,0.0
263,French Ultramarine,100.0,78.0,10.0,1.0
283,Gold,9.0,13.0,50.0,0.0
285,Gold Ochre,15.0,42.0,100.0,1.0
294,Green Gold,68.0,35.0,100.0,21.0
317,Indian Red,29.0,98.0,91.0,36.0
319,Indian Yellow,4.0,33.0,100.0,0.0
320,Indian Yellow Deep,1.0,16.0,100.0,0.0
321,Indanthrene Blue,100.0,99.0,33.0,35.0
322,Indigo,100.0,88.0,42.0,51.0
330,Iridescent White,0.0,0.0,0.0,0.0
331,Ivory Black,73.0,67.0,67.0,86.0
333,Brilliant Yellow,4.0,16.0,87.0,0.0
337,Lamp Black,73.0,67.0,66.0,83.0
347,Lemon Yellow Hue,5.0,0.0,66.0,0.0
362,Light Red,29.0,86.0,100.0,31.0
379,Manganese Blue Hue,76.0,25.0,0.0,0.0
380,Magenta,35.0,100.0,28.0,5.0
386,Mars Black,73.0,67.0,65.0,80.0
395,Mars Violet Deep,29.0,96.0,80.0,32.0
400,Mauve Blue Shade,96.0,100.0,20.0,7.0
411,Ruby Madder Alizarin,0.0,100.0,63.0,31.0
