Code,Name,C,M,Y,K,R,G,B,Hex
004,Alizarin Crimson,22.0,100.0,98.0,15.0,153,38,42,#99262A
025,Bismuth Yellow,11.0,0.0,84.0,0.0,229,229,83,#E5E553
034,Blue Black,77.0,67.0,65.0,84.0,12,17,17,#0C1111
042,Bright Red,14.0,100.0,93.0,4.0,183,39,50,#B72732
045,Royal Blue,51.0,38.0,0.0,0.0,121,138,184,#798AB8
056,Brown Madder,27.0,88.0,97.0,24.0,133,52,40,#853428
058,Bronze,42.0,61.0,92.0,38.0,94,70,41,#5E4629
059,Brown Ochre,22.0,63.0,100.0,8.0,172,103,48,#AC6730
074,Burnt Sienna,19.0,92.0,100.0,9.0,169,55,44,#A9372C
076,Burnt Umber,41.0,69.0,100.0,47.0,82,55,31,#52371F
084,Cadmium Green Pale,41.0,4.0,100.0,0.0,154,192,62,#9AC03E
086,Cadmium Lemon,4.0,0.0,94.0,0.0,247,236,49,#F7EC31
089,Cadmium Orange,9.0,70.0,100.0,1.0,205,102,46,#CD662E
094,Cadmium Red,11.0,100.0,86.0,2.0,192,38,55,#C02637
097,Cadmium Red Deep,23.0,100.0,85.0,17.0,147,35,49,#932331
106,Cadmium Scarlet,9.0,89.0,100.0,2.0,198,64,44,#C6402C
108,Cadmium Yellow,5.0,45.0,100.0,0.0,225,147,48,#E19330
111,Cadmium Yellow Deep,7.0,59.0,100.0,0.0,216,122,46,#D87A2E
118,Cadmium Yellow Pale,2.0,12.0,100.0,0.0,247,212,34,#F7D422
137,Cerulean Blue,67.0,18.0,13.0,0.0,76,158,184,#4C9EB8
142,Charcoal Grey,72.0,65.0,64.0,73.0,26,29,27,#1A1D1B
147,Chrome Green Deep Hue,86.0,30.0,100.0,18.0,31,109,57,#1F6D39
149,Chrome Yellow Hue,4.0,5.0,100.0,0.0,246,225,29,#F6E11D
178,Cobalt Blue,90.0,56.0,1.0,0.0,19,98,159,#13629F
180,Cobalt Blue Deep,100.0,96.0,16.0,4.0,40,47,106,#282F6A
183,Cobalt Chromite Green,46.0,13.0,46.0,0.0,137,176,144,#89B090
184,Cobalt Green,94.0,58.0,51.0,35.0,18,64,71,#124047
190,Cobalt Turquoise,89.0,37.0,53.0,15.0,16,105,102,#106966
191,Cobalt Turquoise Light,76.0,4.0,40.0,0.0,19,169,157,#13A99D
192,Cobalt Violet,46.0,88.0,15.0,1.0,136,62,118,#883E76
214,Copper,15.0,65.0,97.0,3.0,192,107,51,#C06B33
217,Davy's Gray,26.0,18.0,43.0,0.0,185,185,148,#B9B994
242,Flake White Hue,0.0,0.0,0.0,0.0,255,255,255,#FFFFFF
257,Pale Rose Blush,0.0,30.0,26.0,0.0,242,186,168,#F2BAA8
263,French Ultramarine,100.0,78.0,10.0,1.0,21,70,128,#154680
283,Gold,9.0,13.0,50.0,0.0,227,208,141,#E3D08D
285,Gold Ochre,15.0,42.0,100.0,1.0,203,146,49,#CB9231
294,Green Gold,68.0,35.0,100.0,21.0,80,108,52,#506C34
317,Indian Red,29.0,98.0,91.0,36.0,106,31,35,#6A1F23
319,Indian Yellow,4.0,33.0,100.0,0.0,231,171,46,#E7AB2E
320,Indian Yellow Deep,1.0,16.0,100.0,0.0,247,205,36,#F7CD24
321,Indanthrene Blue,100.0,99.0,33.0,35.0,23,25,58,#17193A
322,Indigo,100.0,88.0,42.0,51.0,13,24,44,#0D182C
330,Iridescent White,0.0,0.0,0.0,0.0,255,255,255,#FFFFFF
331,Ivory Black,73.0,67.0,67.0,86.0,14,16,14,#0E100E
333,Brilliant Yellow,4.0,16.0,87.0,0.0,240,204,71,#F0CC47
337,Lamp Black,73.0,67.0,66.0,83.0,17,19,18,#111312
347,Lemon Yellow Hue,5.0,0.0,66.0,0.0,243,238,121,#F3EE79
362,Light Red,29.0,86.0,100.0,31.0,118,50,35,#763223
379,Manganese Blue Hue,76.0,25.0,0.0,0.0,31,142,194,#1F8EC2
380,Magenta,35.0,100.0,28.0,5.0,147,37,96,#932560
386,Mars Black,73.0,67.0,65.0,80.0,20,22,21,#141615
395,Mars Violet Deep,29.0,96.0,80.0,32.0,114,35,44,#72232C
400,Mauve Blue Shade,96.0,100.0,20.0,7.0,48,42,98,#302A62
411,Ruby Madder Alizarin,0.0,100.0,63.0,31.0,153,22,52,#991634
412,Mineral Green Deep,93.0,14.0,53.0,57.0,0,75,67,#004B43
413,Warm Brown Pink,34.0,77.0,62.0,67.0,61,33,33,#3D2121
414,Oriental Blue,100.0,90.0,0.0,2.0,32,55,128,#203780
416,Orange Lake Mineral,0.0,74.0,100.0,0.0,225,96,42,#E1602A
420,Cinnabar Green,100.0,0.0,75.0,20.0,0,130,91,#00825B
422,Naples Yellow,3.0,13.0,64.0,0.0,242,212,118,#F2D476
424,Ultramarine Ash,52.0,14.0,0.0,51.0,62,99,120,#3E6378
425,Naples Yellow Deep,5.0,26.0,83.0,0.0,232,184,78,#E8B84E
426,Naples Yellow Light,2.0,2.0,42.0,0.0,250,241,166,#FAF1A6
427,Mineral Grey,14.0,13.0,0.0,41.0,130,133,143,#82858F
429,Warm White,0.0,0.0,7.0,3.0,248,246,231,#F8F6E7
447,Olive Green,70.0,47.0,96.0,46.0,52,69,40,#344528
459,Oxide of Chromium,67.0,29.0,100.0,12.0,90,126,59,#5A7E3B
465,Payne's Gray,71.0,62.0,55.0,42.0,57,61,63,#393D3F
468,Permanent Alizarin Crimson,15.0,100.0,84.0,4.0,182,38,56,#B62638
479,Permanent Carmine,21.0,98.0,52.0,5.0,169,42,81,#A92A51
481,Permanent Green,80.0,19.0,100.0,5.0,49,138,67,#318A43
482,Permanent Green Deep,84.0,21.0,100.0,7.0,29,131,66,#1D8342
483,Permanent Green Light,80.0,19.0,100.0,5.0,49,138,67,#318A43
489,Permanent Magenta,38.0,100.0,41.0,17.0,125,34,76,#7D224C
491,Permanent Mauve,70.0,96.0,29.0,16.0,83,43,87,#532B57
502,Permanent Rose,15.0,100.0,65.0,3.0,182,37,72,#B62548
505,Perylene Black,75.0,50.0,71.0,67.0,30,44,36,#1E2C24
511,Pewter,35.0,33.0,36.0,0.0,162,155,145,#A29B91
526,Phthalo Turquoise,92.0,54.0,44.0,22.0,24,80,93,#18505D
538,Prussian Blue,100.0,89.0,24.0,9.0,37,53,100,#253564
540,Prussian Green,89.0,33.0,100.0,24.0,22,97,53,#166135
543,Purple Madder,35.0,100.0,66.0,46.0,85,22,40,#551628
544,Purple Lake,64.0,88.0,44.0,41.0,64,36,56,#402438
545,Quinacridone Magenta,30.0,87.0,0.0,0.0,163,66,137,#A34289
548,Quinacridone Red,0.0,93.0,61.0,0.0,218,55,78,#DA374E
552,Raw Sienna,19.0,53.0,100.0,3.0,189,124,50,#BD7C32
554,Raw Umber,46.0,68.0,82.0,56.0,67,49,36,#433124
557,Raw Umber Light,25.0,38.0,100.0,3.0,180,144,53,#B49035
558,Raw Umber (Green Shade),38.0,45.0,74.0,13.0,139,118,81,#8B7651
573,Renaissance Gold,13.0,46.0,95.0,0.0,208,141,57,#D08D39
576,Rose Dore,6.0,50.0,37.0,0.0,220,141,131,#DC8D83
587,Rose Madder Genuine,7.0,84.0,42.0,0.0,207,76,101,#CF4C65
599,Sap Green,85.0,35.0,100.0,29.0,33,91,49,#215B31
603,Scarlet Lake,11.0,100.0,100.0,2.0,192,37,43,#C0252B
617,Silver,27.0,21.0,22.0,0.0,179,181,178,#B3B5B2
635,Terra Rosa,22.0,100.0,100.0,13.0,156,39,42,#9C272A
637,Terre Verte,39.0,11.0,56.0,0.0,155,184,132,#9BB884
644,Titanium White,0.0,0.0,0.0,0.0,255,255,255,#FFFFFF
646,Transparent Gold Ochre,11.0,33.0,92.0,0.0,216,166,62,#D8A63E
647,Transparent Red Ochre,10.0,67.0,91.0,1.0,203,107,58,#CB6B3A
648,Transparent Brown Oxide,33.0,70.0,84.0,29.0,119,72,50,#774832
650,Transparent Orange,0.0,86.0,100.0,0.0,221,72,43,#DD482B
653,Transparent Yellow,4.0,2.0,98.0,0.0,247,232,33,#F7E821
657,Transparent Maroon,23.0,84.0,90.0,14.0,156,66,51,#9C4233
